SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
106,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008248,PACKING SPRING,KCA-FA-11,0,0,1,0,0,EA,0,,,
107,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008249,SEAT RING,KCA-FA-12,0,0,1,0,0,EA,0,,,
108,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008250,PACKING ,KCA-FA-13,0,0,1,0,0,EA,0,,,
109,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008251,O-RING,KCA-FA-14,0,0,1,0,0,EA,0,,,
110,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008252,GLAND BUSH,KCA-FA-15,0,0,1,0,0,EA,0,,,
111,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008253,SPRING,KCA-FA-16,0,0,1,0,0,EA,0,,,
112,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008254,SPRING SEAT,KCA-FA-17,0,0,1,0,0,EA,0,,,
113,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008255,PISTON,KCA-FA-18,0,0,1,0,0,EA,0,,,
114,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008256,ADJUST SCREW,KCA-FA-19,0,0,1,0,0,EA,0,,,
115,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008257,BOTTOM COVER,KCA-FA-2,0,0,1,0,0,EA,0,,,
116,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008258,HANDLE WHEEL,KCA-FA-20,0,0,1,0,0,EA,0,,,
117,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008259,HEX BOLT,KCA-FA-21,0,0,1,0,0,EA,0,,,
118,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008260,HEX BOLT,KCA-FA-22,0,0,1,0,0,EA,0,,,
119,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008261,HEX BOLT,KCA-FA-23,0,0,1,0,0,EA,0,,,
120,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008262,DISC LOCK NUT,KCA-FA-24,0,0,1,0,0,EA,0,,,
121,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008263,NUT,KCA-FA-25,0,0,1,0,0,EA,0,,,
122,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008264,LOCK NUT,KCA-FA-26,0,0,1,0,0,EA,0,,,
123,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008265,SPRING WASHER,KCA-FA-27,0,0,1,0,0,EA,0,,,
124,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008266,NUT,KCA-FA-28,0,0,1,0,0,EA,0,,,
125,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008267,PISTON RING,KCA-FA-29,0,0,1,0,0,EA,0,,,
126,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008268,YOKE,KCA-FA-3,0,0,1,0,0,EA,0,,,
127,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008269,O-RING,KCA-FA-30,0,0,1,0,0,EA,0,,,
128,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008270,O-RING,KCA-FA-31,0,0,1,0,0,EA,0,,,
129,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008271,O-RING,KCA-FA-32,0,0,1,0,0,EA,0,,,
130,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008272,O-RING,KCA-FA-33,0,0,1,0,0,EA,0,,,
131,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008273,O-RING,KCA-FA-34,0,0,1,0,0,EA,0,,,
132,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008274,O-RING,KCA-FA-35,0,0,1,0,0,EA,0,,,
133,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008275,NAME PLATE/SCALE,KCA-FA-36,0,0,1,0,0,EA,0,,,
134,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008276,HANDLE SCALE,KCA-FA-37,0,0,1,0,0,EA,0,,,
135,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008277,PISTON COVER,KCA-FA-4,0,0,1,0,0,EA,0,,,
136,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008278,TOP SEAT,KCA-FA-5,0,0,1,0,0,EA,0,,,
137,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008279,DISC,KCA-FA-7,0,0,1,0,0,EA,0,,,
